seq,wall_ms,timeCode,eventType,deviceType,userEvent,origReturn,latched
1,101297,1213,1,1,,0,0
2,101325,1214,2,1,,0,0
3,101325,1215,4,2,,0,1
4,101325,1216,4,2,,1,1
5,101333,1217,1,1,,0,0
6,101333,1218,4,2,,0,1
7,101333,1219,4,2,,1,1
8,101345,1220,1,1,,0,0
9,101345,1221,4,2,,0,1
10,101345,1222,4,2,,1,1
11,101358,1223,4,2,,0,1
12,101358,1224,4,2,,1,1
13,101370,1225,1,1,,0,0
14,101370,1226,4,2,,0,1
15,101370,1227,4,2,,1,1
16,101394,1228,4,2,,0,1
17,101394,1229,4,2,,1,1
18,101406,1230,4,2,,0,1
19,101406,1231,4,2,,1,1
20,101419,1232,1,1,,0,0
21,101419,1233,2,1,,0,0
22,101419,1234,4,2,,0,1
23,101419,1235,4,2,,1,1
24,101433,1236,1,1,,0,0
25,101433,1237,2,1,,0,0
26,101433,1238,4,2,,0,1
27,101433,1239,4,2,,1,1
28,101446,1240,1,1,,0,0
29,101446,1241,4,2,,0,1
30,101446,1242,4,2,,1,1
31,101458,1243,4,2,,0,1
32,101459,1244,4,2,,1,1
33,101471,1245,1,1,,0,0
34,101471,1246,4,2,,0,1
35,101471,1247,4,2,,1,1
36,101484,1248,1,1,,0,0
37,101484,1249,4,2,,0,1
38,101484,1250,4,2,,1,1
39,101497,1251,1,1,,0,0
40,101497,1252,2,1,,0,0
41,101497,1253,4,2,,0,1
42,101497,1254,4,2,,1,1
43,101510,1255,1,1,,0,0
44,101510,1256,2,1,,0,0
45,101510,1257,4,2,,0,1
46,101510,1258,4,2,,1,1
47,101522,1259,1,1,,0,0
48,101522,1260,2,1,,0,0
49,101522,1261,4,2,,0,1
50,101522,1262,4,2,,1,1
51,101535,1263,1,1,,0,0
52,101535,1264,4,2,,0,1
53,101535,1265,4,2,,1,1
54,101548,1266,4,2,,0,1
55,101548,1267,4,2,,1,1
56,101561,1268,4,2,,0,1
57,101561,1269,4,2,,1,1
58,101573,1270,1,1,,0,0
59,101573,1271,4,2,,0,1
60,101573,1272,4,2,,1,1
61,101586,1273,1,1,,0,0
62,101586,1274,4,2,,1,1
63,101599,1275,1,1,,0,0
64,101599,1276,2,1,,0,0
65,101599,1277,4,2,,1,1
66,101610,1278,4,2,,1,1
67,101622,1279,1,1,,0,0
68,101622,1280,4,2,,1,1
69,101633,1281,1,1,,0,0
70,101633,1282,2,1,,0,0
71,101633,1283,4,2,,1,1
72,101645,1284,1,1,,0,0
73,101645,1285,2,1,,0,0
74,101645,1286,4,2,,1,1
75,101657,1287,1,1,,0,0
76,101657,1288,2,1,,0,0
77,101657,1289,4,2,,1,1
78,101668,1290,1,1,,0,0
79,101668,1291,2,1,,0,0
80,101668,1292,4,2,,1,1
81,101680,1293,1,1,,0,0
82,101680,1294,4,2,,1,1
83,101693,1295,1,1,,0,0
84,101693,1296,2,1,,0,0
85,101693,1297,4,2,,1,1
86,101705,1298,1,1,,0,0
87,101705,1299,2,1,,0,0
88,101705,1300,4,2,,1,1
89,101717,1301,1,1,,0,0
90,101717,1302,2,1,,0,0
91,101717,1303,4,2,,1,1
92,101730,1304,1,1,,0,0
93,101730,1305,2,1,,0,0
94,101730,1306,4,2,,1,1
95,101743,1307,1,1,,0,0
96,101743,1308,2,1,,0,0
97,101755,1309,1,1,,0,0
98,102042,1310,1,1,,0,0
99,102054,1311,1,1,,0,0
100,102066,1312,1,1,,0,0
101,102066,1313,2,1,,0,0
102,102077,1314,1,1,,0,0
103,102077,1315,2,1,,0,0
104,102089,1316,1,1,,0,0
105,102089,1317,2,1,,0,0
106,102101,1318,1,1,,0,0
107,102101,1319,2,1,,0,0
108,102101,1320,4,2,,1,1
109,102113,1321,1,1,,0,0
110,102113,1322,2,1,,0,0
111,102113,1323,4,2,,1,1
112,102125,1324,1,1,,0,0
113,102125,1325,2,1,,0,0
114,102125,1326,4,2,,1,1
115,102137,1327,1,1,,0,0
116,102137,1328,2,1,,0,0
117,102137,1329,4,2,,1,1
118,102149,1330,1,1,,0,0
119,102149,1331,2,1,,0,0
120,102149,1332,4,2,,1,1
121,102162,1333,1,1,,0,0
122,102162,1334,2,1,,0,0
123,102162,1335,4,2,,1,1
124,102174,1336,1,1,,0,0
125,102174,1337,2,1,,0,0
126,102174,1338,4,2,,1,1
127,102187,1339,1,1,,0,0
128,102187,1340,2,1,,0,0
129,102187,1341,4,2,,1,1
130,102199,1342,1,1,,0,0
131,102199,1343,4,2,,1,1
132,102212,1344,1,1,,0,0
133,102212,1345,2,1,,0,0
134,102212,1346,4,2,,1,1
135,102224,1347,1,1,,0,0
136,102224,1348,4,2,,1,1
137,102237,1349,1,1,,0,0
138,102237,1350,4,2,,1,1
139,102250,1351,1,1,,0,0
140,102250,1352,4,2,,1,1
141,102262,1353,1,1,,0,0
142,102262,1354,4,2,,1,1
143,102275,1355,1,1,,0,0
144,102275,1356,4,2,,1,1
145,102287,1357,1,1,,0,0
146,102287,1358,4,2,,1,1
147,102300,1359,1,1,,0,0
148,102300,1360,4,2,,1,1
149,102312,1361,1,1,,0,0
150,102312,1362,2,1,,0,0
151,102312,1363,4,2,,1,1
152,102324,1364,1,1,,0,0
153,102324,1365,4,2,,1,1
154,102337,1366,1,1,,0,0
155,102337,1367,4,2,,1,1
156,102349,1368,1,1,,0,0
157,102349,1369,4,2,,1,1
158,102362,1370,1,1,,0,0
159,102362,1371,4,2,,1,1
160,102375,1372,1,1,,0,0
161,102375,1373,2,1,,0,0
162,102375,1374,4,2,,1,1
163,102387,1375,1,1,,0,0
164,102387,1376,4,2,,1,1
165,102400,1377,1,1,,0,0
166,102400,1378,4,2,,1,1
167,102412,1379,1,1,,0,0
168,102413,1380,2,1,,0,0
169,102413,1381,4,2,,1,1
170,102424,1382,1,1,,0,0
171,102424,1383,4,2,,1,1
172,102437,1384,1,1,,0,0
173,102437,1385,4,2,,1,1
174,102450,1386,1,1,,0,0
175,102450,1387,4,2,,1,1
176,102463,1388,1,1,,0,0
177,102463,1389,4,2,,1,1
178,102475,1390,1,1,,0,0
179,102475,1391,4,2,,1,1
180,102489,1392,1,1,,0,0
181,102489,1393,4,2,,1,1
182,102502,1394,1,1,,0,0
183,102502,1395,4,2,,1,1
184,102515,1396,4,2,,1,1
185,102529,1397,4,2,,1,1
186,102542,1398,1,1,,0,0
187,102542,1399,4,2,,1,1
188,102555,1400,1,1,,0,0
189,102555,1401,4,2,,1,1
190,102569,1402,1,1,,0,0
191,102569,1403,4,2,,1,1
192,102582,1404,1,1,,0,0
193,102582,1405,4,2,,1,1
194,102595,1406,1,1,,0,0
195,102595,1407,4,2,,1,1
196,102607,1408,1,1,,0,0
197,102607,1409,2,1,,0,0
198,102607,1410,4,2,,1,1
199,102619,1411,1,1,,0,0
200,102620,1412,4,2,,1,1
201,102632,1413,1,1,,0,0
202,102632,1414,2,1,,0,0
203,102632,1415,4,2,,1,1
204,102643,1416,1,1,,0,0
205,102643,1417,2,1,,0,0
206,102653,1418,1,1,,0,0
207,102653,1419,2,1,,0,0
208,102664,1420,1,1,,0,0
209,102674,1421,1,1,,0,0
210,102674,1422,2,1,,0,0
211,102674,1423,4,2,,1,1
212,102684,1424,1,1,,0,0
213,102684,1425,2,1,,0,0
214,102684,1426,4,2,,1,1
215,102695,1427,1,1,,0,0
216,102695,1428,4,2,,1,1
217,102706,1429,4,2,,1,1
218,102716,1430,1,1,,0,0
219,102716,1431,4,2,,1,1
220,102728,1432,1,1,,0,0
221,102728,1433,2,1,,0,0
222,102728,1434,4,2,,1,1
223,102739,1435,1,1,,0,0
224,102739,1436,4,2,,1,1
225,102751,1437,1,1,,0,0
226,102751,1438,2,1,,0,0
227,102751,1439,4,2,,1,1
228,102763,1440,1,1,,0,0
229,102763,1441,2,1,,0,0
230,102763,1442,4,2,,1,1
231,102775,1443,1,1,,0,0
232,102775,1444,4,2,,1,1
233,102787,1445,1,1,,0,0
234,102787,1446,4,2,,1,1
235,102799,1447,1,1,,0,0
236,102799,1448,4,2,,1,1
237,102812,1449,1,1,,0,0
238,102812,1450,4,2,,1,1
239,102824,1451,1,1,,0,0
240,102824,1452,4,2,,1,1
241,102837,1453,1,1,,0,0
242,102837,1454,4,2,,1,1
243,102850,1455,1,1,,0,0
244,102850,1456,4,2,,1,1
